"protein_name","sample_ID","psm","study","material","material2","x_label"
"Albumin","296",21,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Albumin","302",21,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Osteomodulin","319",19,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Dermatopontin","293",19,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Coagulation factor VII","319",18,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Eosinophil peroxidase","296",18,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Lumican","293",18,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Albumin","318",17,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Dermatopontin","319",17,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Prothrombin","301",17,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Alpha-2-HS-glycoprotein","296",15,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Lumican","302",15,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Vitronectin","294",14,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Collagen alpha-1(V) chain","319",14,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-1(XXII) chain","319",14,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Eosinophil peroxidase","294",13,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Eosinophil peroxidase","319",13,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Lumican","296",13,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(V) chain","293",13,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Coagulation factor X","319",12,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Decorin","319",12,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Olfactomedin-like protein 3","319",12,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Protein Z-dependent protease inhibitor","319",12,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Albumin","294",11,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Coagulation factor IX","318",11,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Lumican","318",11,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Coagulation factor IX","296",11,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Coagulation factor IX","302",11,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-1(XII) chain","293",11,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Decorin","293",11,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Eosinophil peroxidase","293",11,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-1(XII) chain","318",10,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Bone marrow proteoglycan","296",10,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Dermatopontin","296",10,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(V) chain","302",10,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Dermatopontin","302",10,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Coagulation factor X","293",10,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Insulin-like growth factor-binding protein 5","293",10,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Kininogen-1","293",10,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Alpha-2-HS-glycoprotein","318",9,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Osteocalcin","319",9,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Vitronectin","301",9,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Coagulation factor IX","294",8,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Lumican","294",8,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Prothrombin","294",8,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Decorin","318",8,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Dermatopontin","318",8,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Collagen alpha-1(XII) chain","319",8,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Matrix Gla protein","319",8,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Albumin","301",8,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Coagulation factor IX","301",8,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Coagulation factor IX","293",8,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Protein Z-dependent protease inhibitor","293",8,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Thrombospondin-1","293",8,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Osteomodulin","318",7,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Collagen alpha-1(V) chain","296",7,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Protein Z-dependent protease inhibitor","296",7,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Lumican","301",7,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Asporin","293",7,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-3(VI) chain","293",7,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Neutrophil defensin 1","293",7,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Osteomodulin","293",7,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Coagulation factor VII","318",6,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Insulin-like growth factor II","319",6,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Kininogen-1","319",6,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Osteocalcin","296",6,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Protein Z-dependent protease inhibitor","301",6,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Decorin","302",6,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Coagulation factor VII","293",6,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-1(XXII) chain","293",6,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Olfactomedin-like protein 3","293",6,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Osteocalcin","293",6,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Secreted phosphoprotein 24","293",6,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Tetranectin","319",5,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Cathepsin G","296",5,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Decorin","296",5,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Olfactomedin-like protein 3","296",5,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Osteomodulin","296",5,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(XII) chain","301",5,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Insulin-like growth factor II","302",5,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Kininogen-1","302",5,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Protein Z-dependent protease inhibitor","302",5,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Bone marrow proteoglycan","293",5,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-2(V) chain","293",5,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Matrix Gla protein","293",5,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Vitamin K-dependent protein C","293",5,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Bone marrow proteoglycan","294",4,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Cathepsin G","294",4,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Coagulation factor VII","294",4,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Myeloperoxidase","294",4,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Osteocalcin","294",4,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Bone marrow proteoglycan","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Cellular retinoic acid-binding protein 2","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Insulin-like growth factor-binding protein complex acid labile subunit","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Integrin-binding sialoprotein","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Neutrophil defensin 1","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Platelet glycoprotein 4","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Procollagen C-endopeptidase enhancer 1","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Serine protease HTRA1","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Thrombospondin-1","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Vitrin","319",4,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Coagulation factor VII","296",4,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Coagulation factor X","296",4,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Alpha-2-HS-glycoprotein","301",4,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Dermatopontin","301",4,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Prothymosin alpha","301",4,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Collagen alpha-1(XII) chain","302",4,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Apolipoprotein E","293",4,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","293",4,"Sawafuji","bone","Bone
 ","293

Bone
 "
"C-type lectin domain family 11 member A","293",4,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Insulin-like growth factor II","293",4,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Integrin-binding sialoprotein","293",4,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Alpha-2-HS-glycoprotein","294",3,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Collagen alpha-1(XXII) chain","294",3,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Dermatopontin","294",3,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Neutrophil defensin 1","294",3,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Osteomodulin","294",3,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Alpha-enolase","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Coagulation factor X","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Collagen alpha-1(XXII) chain","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Eosinophil peroxidase","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Lactadherin","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Matrix Gla protein","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Protein Z-dependent protease inhibitor","318",3,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Apolipoprotein E","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"C-type lectin domain family 11 member A","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Carboxypeptidase Z","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Cathepsin G","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Inter-alpha-trypsin inhibitor heavy chain H4","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Myeloblastin","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Vitamin K-dependent protein C","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Vitamin K-dependent protein S","319",3,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-1(XXII) chain","296",3,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-2(V) chain","296",3,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Insulin-like growth factor II","296",3,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Kininogen-1","301",3,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Osteocalcin","301",3,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Secreted phosphoprotein 24","301",3,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Collagen alpha-1(XXII) chain","302",3,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Neutrophil defensin 1","302",3,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Osteocalcin","302",3,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Osteomodulin","302",3,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Sushi repeat-containing protein SRPX","302",3,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Amyloid-beta precursor protein","293",3,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Cathepsin G","293",3,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Complement component C8 beta chain","293",3,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Endoplasmin","293",3,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Coagulation factor X","294",2,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Myeloblastin","294",2,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Neutrophil elastase","294",2,"Sawafuji","bone","Bone
 ","294

Bone
 "
"Apolipoprotein E","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Glyceraldehyde-3-phosphate dehydrogenase","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Integrin-binding sialoprotein","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Keratin, type II cytoskeletal 1","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Myeloblastin","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Olfactomedin-like protein 3","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Pyruvate kinase PKM","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Thrombospondin-1","318",2,"Sawafuji","bone","Bone
 ","318

Bone
 "
"Carbohydrate sulfotransferase 13","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-2(XI) chain","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Collagen alpha-3(VI) chain","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Complement C1q subcomponent subunit B","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Complement C1q subcomponent subunit C","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Complement C4-A","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Complement component C8 beta chain","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Complement component C9","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Peptidyl-prolyl cis-trans isomerase B","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Protein S100-A8","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Transthyretin","319",2,"Sawafuji","bone","Bone
 ","319

Bone
 "
"Apolipoprotein E","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-1(XII) chain","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Collagen alpha-3(VI) chain","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Kininogen-1","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Neutrophil defensin 1","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Tetranectin","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Thrombospondin-1","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Vitamin K-dependent protein C","296",2,"Sawafuji","bone","Bone
 ","296

Bone
 "
"Asporin","301",2,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Collagen alpha-1(XXII) chain","301",2,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Eosinophil peroxidase","301",2,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Glyceraldehyde-3-phosphate dehydrogenase","301",2,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Heterogeneous nuclear ribonucleoprotein C","301",2,"Sawafuji","bone","Bone
 ","301

Bone
 "
"Apolipoprotein E","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Coagulation factor X","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-3(VI) chain","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Integrin-binding sialoprotein","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Neutrophil defensin 2","302",2,"Sawafuji","bone","Bone
 ","302

Bone
 "
"Collagen alpha-2(VI) chain","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-2(XI) chain","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Complement C3","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Immunoglobulin superfamily member 8","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Inter-alpha-trypsin inhibitor heavy chain H4","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Mimecan","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Myeloblastin","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Phosphoethanolamine/phosphocholine phosphatase","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Proteoglycan 3","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Tetranectin","293",2,"Sawafuji","bone","Bone
 ","293

Bone
 "
"Collagen alpha-1(I) chain","BS5981",222,"Ntasi","bone","Bone
 ","BS5981

Bone
 "
"Collagen alpha-1(I) chain","BS5982",151,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-2(I) chain","BS5981",131,"Ntasi","bone","Bone
 ","BS5981

Bone
 "
"Collagen alpha-2(I) chain","BS5982",111,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Chondroadherin","BS5982",80,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Albumin","BS5982",60,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Biglycan","BS5982",50,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Alpha-2-HS-glycoprotein","BS5982",48,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Vitronectin","BS5982",44,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-2(XI) chain","BS5982",26,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Pigment epithelium-derived factor","BS5982",26,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Protein Z-dependent protease inhibitor","BS5982",21,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Fibronectin","BS5982",15,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Osteomodulin","BS5982",15,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Thrombospondin-1","BS5982",15,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Prothrombin","BS5982",13,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-1(XI) chain","BS5982",10,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-1(II) chain","BS5982",9,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Antithrombin-III","BS5982",7,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-1(XII) chain","BS5982",7,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Lumican","BS5982",7,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-1(IX) chain","BS5982",6,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-1(V) chain","BS5982",5,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Basement membrane-specific heparan sulfate proteoglycan core protein","BS5982",4,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-2(V) chain","BS5982",3,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Endoplasmin","BS5982",3,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Kininogen-1","BS5982",3,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Matrilin-3","BS5982",3,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Tetranectin","BS5982",3,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagen alpha-2(V) chain","BS5981",2,"Ntasi","bone","Bone
 ","BS5981

Bone
 "
"Vitronectin","BS5981",2,"Ntasi","bone","Bone
 ","BS5981

Bone
 "
"Collagen alpha-1(X) chain","BS5982",2,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Collagenase 3","BS5982",2,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
"Decorin","BS5982",2,"Ntasi","bone","Bone
 ","BS5982

Bone
 "
